,psd_0_0,csd_0_0_TBL,csd_0_0_DAF,psd_0_1,csd_0_1_TBL,csd_0_1_DAF,psd_0_2,csd_0_2_TBL,csd_0_2_DAF,psd_1_0,csd_1_0_TBL,csd_1_0_DAF,psd_1_1,csd_1_1_TBL,csd_1_1_DAF,psd_1_2,csd_1_2_TBL,csd_1_2_DAF,psd_2_0,csd_2_0_TBL,csd_2_0_DAF,psd_2_1,csd_2_1_TBL,csd_2_1_DAF,psd_2_2,csd_2_2_TBL,csd_2_2_DAF
115.21739130434783,0.0035988566860033874,(1.4163707183564689e-14-1.0255191767873153e-29j),(1.436522069747481e-12-1.3126645462877636e-27j),0.020361882145417908,(2.173481937663089e-12-1.1107161545511846e-27j),(8.127662653878304e-12-1.6155871338926322e-27j),0.1151883248175125,(2.9779270569692424e-11+9.693522803355793e-27j),(4.597864966980861e-11+0j),0.0035988566860033874,(1.7730166835185786e-14+4.535950205020818e-30j),(1.811584111581197e-12+3.7865323450608567e-29j),0.020361882145417908,(2.7546440910560664e-12-1.1612032524853294e-27j),(1.0249716894809744e-11+0j),0.1151883248175125,(3.767219258684224e-11+3.2311742677852644e-27j),(5.7983231144109933e-11+4.0389678347315804e-28j),0.0035988566860033874,(1.777920342627867e-14-1.6011411185657724e-29j),(1.8163266042059792e-12-1.262177448353619e-29j),0.020361882145417908,(2.7642510405647787e-12-1.6566079009641248e-28j),(1.0276549326419721e-11+8.835242138475332e-29j),0.1151883248175125,(3.7787904307379105e-11-4.8467614016778965e-27j),(5.8135023735082635e-11-3.534096855390133e-28j)
121.73913043478261,0.0035987456192990673,(1.0536948689710883e-14+2.129924444096732e-29j),(1.6079533229362471e-12+4.0389678347315804e-28j),0.02036175742916617,(2.136696277386665e-12-8.077935669463161e-28j),(9.097824348425751e-12+2.4233807008389483e-27j),0.11518818481753826,(3.214790069767304e-11-4.8467614016778965e-27j),(5.146716220982303e-11+4.2005265481208437e-26j),0.0035987456192990673,(1.3152676213473267e-14+4.535950205020818e-30j),(2.030571070416035e-12-3.7865323450608567e-29j),0.02036175742916617,(2.7136368577111707e-12-4.291403324402304e-28j),(1.1489001989128274e-11-1.0097419586828951e-28j),0.11518818481753826,(4.0746932564225054e-11-6.866245319043687e-27j),(6.499425646811496e-11+6.866245319043687e-27j),0.0035987456192990673,(1.3182520046453317e-14-1.2917597322994068e-29j),(2.035922416544673e-12-1.5777218104420236e-30j),0.02036175742916617,(2.7235637019086388e-12+4.2440716700890435e-28j),(1.1519279986885716e-11-5.048709793414476e-29j),0.11518818481753826,(4.0876207436459446e-11-1.0854726055841122e-27j),(6.516554166359586e-11-5.048709793414476e-29j)
128.26086956521738,0.003598626335334081,(8.409449340194952e-15-2.3665827156630354e-30j),(1.7898023119648e-12+1.0097419586828951e-28j),0.020361623478921002,(2.074125809722074e-12+1.3126645462877636e-27j),(1.0126997743583825e-11-2.4233807008389483e-27j),0.11518803445043238,(3.446389126236502e-11-4.8467614016778965e-27j),(5.7289585291418027e-11+9.693522803355793e-27j),0.003598626335334081,(1.0488607983316947e-14+1.7749370367472766e-30j),(2.2635360700304524e-12-1.0097419586828951e-28j),0.020361623478921002,(2.6398944840780485e-12+9.087677628146056e-28j),(1.2807461762944589e-11+1.0097419586828951e-28j),0.11518803445043238,(4.377299688799386e-11+1.2116903504194741e-27j),(7.245327703362645e-11+8.077935669463161e-28j),0.003598626335334081,(1.0507446159672536e-14+3.617666807536984e-30j),(2.2695436839622702e-12+6.310887241768095e-30j),0.020361623478921002,(2.650045648538614e-12+1.3252863207712998e-28j),(1.2841453836999425e-11-2.524354896707238e-29j),0.11518803445043238,(4.391679133661849e-11+8.91097278537655e-27j),(7.26455740870183e-11+2.524354896707238e-28j)
134.7826086956522,0.003598498691397645,(7.325959228806531e-15+9.071900410041636e-30j),(1.98223727329525e-12-5.048709793414476e-28j),0.02036148013294007,(1.9887334568706616e-12-3.0292258760486853e-28j),(1.121614548741112e-11+6.462348535570529e-27j),0.1151878735342985,(3.6710149179374145e-11-1.6155871338926322e-26j),(6.345137679142055e-11-2.908056841006738e-26j),0.003598498691397645,(9.167454808561706e-15-1.1832913578315177e-29j),(2.5108207290913504e-12+2.524354896707238e-29j),0.02036148013294007,(2.5369104217706584e-12-3.281661365719409e-28j),(1.4207043208041633e-11-3.0292258760486853e-28j),0.1151878735342985,(4.6729823830492105e-11-4.8467614016778965e-27j),(8.037132299123859e-11+0j),0.003598498691397645,(9.182564745770859e-15-3.438940508697848e-30j),(2.51753463823919e-12+3.1554436208840472e-30j),0.02036148013294007,(2.5471819605806417e-12+7.573064690121713e-29j),(1.4245032697395878e-11+2.524354896707238e-29j),0.1151878735342985,(4.688914508039223e-11-7.724525983924148e-27j),(8.05862350932469e-11-1.5146129380243427e-28j)
141.30434782608694,0.003598362549751856,(6.840624151944765e-15-9.466330862652142e-30j),(2.1854381219595157e-12+8.077935669463161e-28j),0.02036132723492573,(1.8839647277927187e-12+1.6155871338926322e-27j),(1.2366297208147596e-11+0j),0.11518770189332106,(3.887043326883989e-11-9.693522803355793e-27j),(6.995837451563404e-11-1.6155871338926322e-26j),0.003598362549751856,(8.622719553158613e-15+2.662405555120915e-30j),(2.772793741768286e-12+1.7670484276950664e-28j),0.02036132723492573,(2.4088030254699417e-12-5.806016262426647e-28j),(1.568984779896388e-11+1.0097419586828951e-28j),0.11518770189332106,(4.959774698242827e-11-5.6545549686242126e-27j),(8.876029986486399e-11+0j),0.003598362549751856,(8.639723065348563e-15+1.042159211506821e-29j),(2.7802668350519986e-12+1.262177448353619e-29j),0.02036132723492573,(2.4190839712583488e-12+1.2116903504194741e-27j),(1.573213428224704e-11-1.262177448353619e-29j),0.11518770189332106,(4.9773652112358206e-11+5.856503360360792e-27j),(8.899952213040392e-11-2.0194839173657902e-28j)
147.82608695652175,0.003598217777253517,(6.582944385249694e-15-1.6171648557030742e-29j),(2.3995969438193297e-12-4.0389678347315804e-28j),0.02036116463359601,(1.7635999650274924e-12+0j),(1.3578552342285529e-11+5.6545549686242126e-27j),0.11518751935728273,(4.092944028949426e-11+3.2311742677852644e-27j),(7.681681224610064e-11+3.2311742677852644e-26j),0.003598217777253517,(8.37674537781313e-15+8.923988990312696e-30j),(3.0498525872919147e-12+2.0194839173657902e-28j),0.02036116463359601,(2.2601421410045988e-12-7.068193710780266e-28j),(1.7258141247206177e-11+6.058451752097371e-28j),0.11518751935728273,(5.235808164228048e-11+0j),(9.76330438241829e-11-1.6155871338926322e-27j),0.003598217777253517,(8.399146792378024e-15-2.0214560696288428e-30j),(3.05814088583847e-12+1.8932661725304283e-29j),0.02036116463359601,(2.2703163360613466e-12-1.402594689482959e-27j),(1.730504208025349e-11-3.7865323450608567e-29j),0.11518751935728273,(5.2551675147073294e-11+9.34011311781678e-27j),(9.789837199728712e-11-4.0389678347315804e-28j)
154.3478260869565,0.003598064245022435,(6.296046793657182e-15-1.5777218104420236e-30j),(2.6249185244289453e-12+0j),0.020360992182307844,(1.6316050466011132e-12+2.0194839173657902e-28j),(1.485408317236969e-11-2.4233807008389483e-27j),0.11518732576114049,(4.2872884852920057e-11+9.693522803355793e-27j),(8.403333697782934e-11+4.52364397489937e-26j),0.003598064245022435,(8.091994599492932e-15-5.423418723394456e-31j),(3.3424254088959156e-12+2.524354896707238e-29j),0.020360992182307844,(2.0957723961953426e-12+1.135959703518257e-28j),(1.891436422087913e-11+8.077935669463161e-28j),0.11518732576114049,(5.499320498014713e-11-2.0194839173657902e-27j),(1.0700338242693231e-10-3.2311742677852644e-27j),0.003598064245022435,(8.121060497658572e-15+4.3757128336478e-30j),(3.351588361720409e-12-9.466330862652142e-30j),0.020360992182307844,(2.1057208155849027e-12+1.266910613784945e-27j),(1.8966216216319298e-11+2.524354896707238e-29j),0.11518732576114049,(5.5205634792141794e-11-8.229396963265595e-27j),(1.0729672238977176e-10-4.0389678347315804e-28j)
160.8695652173913,0.0035979018281487468,(5.84665034573114e-15-6.310887241768095e-30j),(2.8616209163753765e-12-6.058451752097371e-28j),0.020360809738724138,(1.4919858283487854e-12-4.0389678347315804e-28j),(1.6194138085377365e-11-1.1309109937248425e-26j),0.11518712094465094,(4.468757280265818e-11+6.462348535570529e-27j),(9.161502740664723e-11+0j),0.0035979018281487468,(7.58719019459748e-15-1.1931521191467804e-29j),(3.6509730787762575e-12+7.573064690121713e-29j),0.020360809738724138,(1.920639204398394e-12+0j),(2.066114412477345e-11-2.6253290925755273e-27j),0.11518712094465094,(5.748662971493274e-11-5.6545549686242126e-27j),(1.168862013689381e-10-4.0389678347315804e-27j),0.0035979018281487468,(7.622174941961269e-15+8.067335351049254e-30j),(3.661073886456619e-12-6.310887241768095e-30j),0.020360809738724138,(1.930242744410708e-12+1.4593926746588718e-27j),(2.071830539075864e-11+1.5146129380243427e-28j),0.11518712094465094,(5.771908165371291e-11+5.957477556229081e-27j),(1.1720957955197085e-10-8.077935669463161e-28j)
167.39130434782606,0.003597730405433291,(5.211043599820878e-15-3.549874073494553e-30j),(3.1099360470821524e-12-1.0097419586828951e-27j),0.020360617164518053,(1.3486512150876e-12-1.5146129380243427e-27j),(1.7600045063173195e-11+9.693522803355793e-27j),0.11518690475203743,(4.636146767595398e-11+1.6155871338926322e-26j),(9.956941373349988e-11-3.877409121342317e-26j),0.003597730405433291,(6.8228848619921776e-15+5.127595883936577e-30j),(3.975991467780593e-12+1.0097419586828951e-28j),0.020360617164518053,(1.7396230915448906e-12+3.7865323450608567e-28j),(2.2501308047599868e-11+8.077935669463161e-28j),0.11518690475203743,(5.98230710752992e-11+2.4233807008389483e-27j),(1.272975178469492e-10-1.6155871338926322e-27j),0.003597730405433291,(6.8615487755228474e-15+1.2344440571544427e-29j),(3.987097437527936e-12+0j),0.020360617164518053,(1.7487657585866705e-12+1.1706695833479815e-27j),(2.2564160005024122e-11+1.0097419586828951e-28j),0.11518690475203743,(6.007676171329212e-11+2.2214323091023692e-27j),(1.2765309264975665e-10-5.048709793414476e-28j)
173.91304347826087,0.0035975498591561575,(4.444748396405013e-15+3.1554436208840472e-30j),(3.370110369172461e-12-4.0389678347315804e-28j),0.020360414325108975,(1.205289192186932e-12-9.087677628146056e-28j),(1.9073215417170647e-11+1.6155871338926322e-27j),0.11518667703169262,(4.78837499011573e-11-1.6155871338926322e-26j),(1.0790449885413986e-10-6.462348535570529e-27j),0.0035975498591561575,(5.8653857494638424e-15-7.592786212752239e-30j),(4.318013940897777e-12-2.0194839173657902e-28j),0.020360414325108975,(1.5573873871773895e-12-2.6505726415425997e-28j),(2.4437896996623487e-11+8.077935669463161e-28j),0.11518667703169262,(6.198850684726605e-11-1.1713006720721583e-26j),(1.3825456121550586e-10+3.2311742677852644e-27j),0.0035975498591561575,(5.9047030024468195e-15-1.2954575177926303e-29j),(4.330196876872382e-12+0j),0.020360414325108975,(1.5659597858002224e-12+3.549874073494553e-28j),(2.4506846596726407e-11+7.573064690121713e-29j),0.11518667703169262,(6.226467479709219e-11-7.623551788055858e-27j),(1.3864463556230967e-10+0j)
180.43478260869566,0.00359736007486942,(3.644967512026779e-15-1.5777218104420236e-30j),(3.642405555593666e-12+8.077935669463161e-28j),0.020360201089425694,(1.0652594583779707e-12+3.534096855390133e-28j),(2.0615147779950906e-11-3.2311742677852644e-27j),0.11518643763591178,(4.924486842094944e-11-1.2924697071141057e-26j),(1.1662878100667145e-10-5.169878828456423e-26j),0.00359736007486942,(4.84005579374873e-15+7.691393825904865e-30j),(4.6776141022956534e-12+1.5146129380243427e-28j),0.020360201089425694,(1.3782436047412596e-12-1.8301573001127474e-27j),(2.6474181555186663e-11-4.0389678347315804e-28j),0.11518643763591178,(6.397023034465432e-11+1.9387045606711586e-26j),(1.4977586170561412e-10+9.693522803355793e-27j),0.00359736007486942,(4.876977618990562e-15-1.0908467205009304e-30j),(4.6909507355355466e-12-6.310887241768095e-30j),0.020360201089425694,(1.3861465913373728e-12-4.00741339852274e-28j),(2.654966372237838e-11+2.524354896707238e-29j),0.11518643763591178,(6.42701259921894e-11+7.875987277726582e-27j),(1.5020289687612466e-10+6.058451752097371e-28j)
186.95652173913044,0.0035971609412107676,(2.914450931026926e-15+2.3665827156630354e-30j),(3.92709924180578e-12+4.0389678347315804e-28j),0.020359977329693107,(9.315055064491655e-13-6.058451752097371e-28j),(2.222743236717911e-11-4.8467614016778965e-27j),0.11518618642065243,(5.043658447048034e-11+1.9387045606711586e-26j),(1.2575127795277014e-10-6.462348535570529e-26j),0.0035971609412107676,(3.884814465461835e-15-5.620633949699709e-30j),(5.055408816705532e-12-1.0097419586828951e-28j),0.020359977329693107,(1.2060380063873706e-12-3.9127500898962186e-28j),(2.861367911601166e-11+6.058451752097371e-28j),0.11518618642065243,(6.57568961726851e-11-4.0389678347315804e-28j),(1.6188134807158575e-10+4.8467614016778965e-27j),0.0035971609412107676,(3.916947073498533e-15-5.0567216619831265e-30j),(5.069981279631425e-12+2.524354896707238e-29j),0.020359977329693107,(1.2131863493373279e-12-4.425509678289876e-28j),(2.869615944415316e-11-1.0097419586828951e-28j),0.11518618642065243,(6.608176989744692e-11+2.0194839173657902e-28j),(1.6234797896706766e-10+1.3126645462877636e-27j)
193.47826086956522,0.003596952349735268,(2.3334473212701802e-15+7.888609052210118e-31j),(4.2244858174290226e-12-1.2116903504194741e-27j),0.020359742921239345,(8.064881340450705e-13-4.0389678347315804e-28j),(2.391175552370239e-11+1.1309109937248425e-26j),0.11518592324531692,(5.14520072799792e-11-3.2311742677852644e-27j),(1.3528155277150752e-10-5.816113682013476e-26j),0.003596952349735268,(3.1125583334178086e-15-1.1832913578315177e-30j),(5.45206153743283e-12-1.5146129380243427e-28j),0.020359742921239345,(1.0440619358253282e-12+1.8932661725304283e-29j),(3.0860172863029185e-11-2.2214323091023692e-27j),0.11518592324531692,(6.733855868989902e-11-3.4331226595218434e-26j),(1.7459245514489593e-10+0j),0.003596952349735268,(3.1386361260980415e-15-1.4791141972893971e-31j),(5.4679578885843046e-12-6.310887241768095e-30j),0.020359742921239345,(1.0503878053796255e-12-4.488618550707557e-28j),(3.0950150597333464e-11-5.048709793414476e-29j),0.11518592324531692,(6.768964763146995e-11-1.464125840090198e-26j),(1.7510150717160618e-10-2.0194839173657902e-28j)
