f0,Gvv0,f1,Gvv1,f2,Gvv2
493.03944315545243,9.157367083864238e-18,582.3665893271462,3.567088491101717e-15,848.0278422273783,1.7248600221683023e-12
500,1.0046437167833621e-17,591.647331786543,5.28859171417223e-15,852.6682134570766,1.7927557609349762e-12
506.96055684454757,1.1544476538478602e-17,596.2877030162414,6.077181586456795e-15,860.7888631090487,2.367257345572913e-12
513.9211136890951,1.3265890814924772e-17,600.9280742459397,7.064713713004013e-15,866.5893271461717,3.054284278774206e-12
520.8816705336427,1.5243987765659025e-17,603.248259860789,8.308394367040958e-15,875.8700696055686,3.940700605708599e-12
527.8422273781903,1.7517041730670972e-17,610.2088167053364,1.2461589490844304e-14,885.1508120649652,5.0843732431037665e-12
534.8027842227378,2.012903419440673e-17,611.3689095127611,1.3830728955554434e-14,894.431554524362,6.6620565767386e-12
544.0835266821346,2.5376198297109472e-17,613.6890951276102,1.589304977178145e-14,900.232018561485,6.484421354942863e-12
549.8839907192576,2.882428553674995e-17,619.4895591647332,2.3563152847382908e-14,908.3526682134572,4.854189205972807e-12
554.524361948956,3.3122318147058706e-17,621.8097447795824,2.7392126872347004e-14,915.3132250580046,3.5097132056972023e-12
559.1647331786543,3.940700605708567e-17,627.6102088167054,3.8326662823001834e-14,919.9535962877031,3.054284278774206e-12
563.8051044083527,4.634426254866928e-17,631.0904872389791,4.6130047672077166e-14,925.7540603248261,2.286414309998032e-12
568.4454756380511,5.4502761972544377e-17,638.0510440835267,6.999554872984434e-14,932.7146171693736,1.691882589644936e-12
573.0858468677494,6.484421354942863e-17,643.8515081206497,8.622112439050868e-14,940.8352668213457,1.218564225162486e-12
577.7262180974478,7.625946648023263e-17,649.6519721577727,7.679127372555562e-14,950.1160092807426,8.878851808646838e-13
582.3665893271462,9.072907409904699e-17,653.1322505800464,6.682665116519646e-14,962.877030162413,6.776195315271151e-13
587.0069605568445,1.0425782292730912e-16,655.4524361948957,5.951793946163969e-14,972.1577726218098,5.375047342083923e-13
591.647331786543,1.2548492322523279e-16,658.9327146171694,4.9449851296097194e-14,981.4385150812064,4.2145236082901523e-13
596.2877030162414,1.4757543923599032e-16,663.5730858468678,4.108488659595069e-14,991.879350348028,3.22889799974092e-13
599.7679814385151,1.6958063514997732e-16,670.5336426914154,2.970551062635854e-14,1000.0000000000001,2.591080377116617e-13
602.0881670533643,1.9040487711850268e-16,676.3341067285384,2.5850851275189513e-14,1015.0812064965197,2.177851026569547e-13
604.4083526682135,2.187964349933281e-16,683.2946635730859,2.1812169296213393e-14,1030.1624129930397,1.851849266245825e-13
606.7285382830627,2.456643017171567e-16,693.7354988399072,1.5529121263831994e-14,1044.0835266821346,1.5385894012285808e-13
609.0487238979118,2.8229567558496e-16,699.5359628770302,1.3514024696464703e-14,1051.0440835266822,1.3862804755041079e-13
611.3689095127611,3.2438920875740674e-16,706.4965197215778,1.260676396692722e-14,1066.125290023202,1.2204475353587488e-13
613.6890951276102,3.727593720314938e-16,713.4570765661252,1.2036019907371765e-14,1081.2064965197214,1.0744522575935425e-13
616.0092807424594,4.486539222430439e-16,732.0185614849189,1.039363042736258e-14,1096.2877030162413,9.386456605945562e-14
618.3294663573087,5.155533840210269e-16,738.9791183294664,9.92308121749438e-15,1100.9280742459396,9.030970142284966e-14
620.6496519721578,5.9242832525945295e-16,745.939675174014,9.547271559098908e-15,1116.0092807424594,8.424678179398136e-14
622.969837587007,7.130479116513662e-16,752.9002320185615,9.62127725233884e-15,1131.0904872389792,7.679127372555562e-14
625.2900232018562,8.193715592256537e-16,759.8607888631092,9.92308121749438e-15,1149.6519721577724,6.999554872984434e-14
